nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0050419,tt0072308,tt0053137,tt0031983
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0117057,tt0075213,tt0037382,tt0038355
nm0000003	Brigitte Bardot	1934	\N	actress,soundtrack,music_department	tt0049189,tt0057345,tt0056404,tt0054452
nm0000004	John Belushi	1949	1982	actor,soundtrack,writer	tt0078723,tt0072562,tt0077975,tt0080455
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0069467,tt0050986,tt0050976,tt0083922
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0034583,tt0038787,tt0036855,tt0038109
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0043265,tt0034583,tt0042593,tt0037382
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0068646,tt0078788,tt0047296,tt0070849
nm0000009	Richard Burton	1925	1984	actor,soundtrack,producer	tt0059749,tt0087803,tt0057877,tt0061184
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0031867,tt0029870,tt0042041,tt0035575
nm0000011	Gary Cooper	1901	1961	actor,soundtrack,stunts	tt0044706,tt0027996,tt0034167,tt0035896
nm0000012	Bette Davis	1908	1989	actress,soundtrack,make_up_department	tt0042192,tt0056687,tt0031210,tt0035140
nm0000013	Doris Day	1922	2019	soundtrack,actress,producer	tt0049470,tt0053172,tt0045591,tt0048317
nm0000014	Olivia de Havilland	1916	2020	actress,soundtrack	tt0041452,tt0029843,tt0031381,tt0040806
nm0000015	James Dean	1931	1955	actor,miscellaneous	tt0048545,tt0049261,tt0120956,tt0048028
